# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-21 23:39:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838
# output
#   file = C:\Users\micha\Data_Analytics\Lab2\samples\code_4-20230322003950_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.500859
# Diagonal elements of inverse mass matrix:
# 0.984101
-4.57755,0.79474,0.500859,2,5,1,4.74024,3.93608
-4.54052,1,0.500859,1,1,0,4.60441,3.90486
-2.40792,0.8,0.500859,2,5,1,4.59578,2.07204
-0.893342,0.749692,0.500859,2,4,1,2.77762,0.618622
-0.861046,1,0.500859,1,1,0,0.900664,0.579834
-0.652415,0.5,0.500859,1,2,1,0.943026,0.204242
-1.0469,0.864301,0.500859,1,3,0,1.49622,0.790505
-1.60835,0.983974,0.500859,1,3,0,1.97289,1.34613
-1.16192,0.666667,0.500859,1,3,1,1.78731,0.910862
-1.07608,0.999551,0.500859,2,3,0,1.24,0.821556
-0.859454,0.666667,0.500859,1,3,1,1.09991,0.577888
-1.25097,0.987366,0.500859,2,3,0,1.25309,1.00097
-1.52331,0.665386,0.500859,1,3,1,1.56016,1.26578
-1.60146,0.999282,0.500859,1,1,0,1.60813,1.33965
-1.54314,1,0.500859,1,1,0,1.6127,1.2846
-1.12267,1,0.500859,2,3,0,1.54135,0.870364
-1.25,0.997993,0.500859,2,3,0,1.31843,0.999998
-1.24557,1,0.500859,1,1,0,1.27861,0.995568
-1.23599,1,0.500859,1,1,0,1.2716,0.985968
-1.8474,0.988374,0.500859,1,3,0,2.2526,1.56787
-1.13928,0.5,0.500859,1,2,1,2.43491,0.887575
-1.08431,1,0.500859,1,1,0,1.14595,0.830237
-1.55807,0.988468,0.500859,1,3,0,1.78939,1.29873
-1.48495,1,0.500859,1,1,0,1.5649,1.22924
-1.00819,0.998632,0.500859,1,3,0,1.72199,0.748653
-0.753312,0.5,0.500859,1,2,1,1.06964,0.437157
-0.753312,0.0327346,0.500859,1,1,0,0.983166,0.437157
-0.750002,1,0.500859,1,1,0,0.765618,0.432252
-0.800154,0.996195,0.500859,2,3,0,0.850498,0.502486
-0.800154,0,0.500859,0,1,1,1.15101,0.502486
-1.42604,0.47944,0.500859,1,2,1,2.02151,1.17269
-1.03254,0.999393,0.500859,1,3,0,1.56368,0.775068
-0.678889,0.5,0.500859,1,2,1,1.23072,0.306798
-0.697933,0.985507,0.500859,2,3,0,0.700273,0.102219
-0.697933,0,0.500859,0,1,1,3.31295,0.102219
-0.697933,0,0.500859,0,1,1,3.32096,0.102219
