# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-21 23:40:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = C:\Users\micha\Data_Analytics\Lab2\samples\code_4-20230322004025_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.403945
# Diagonal elements of inverse mass matrix:
# 0.415639
-1.03988,0.999946,0.403945,1,1,0,1.04385,0.782971
-0.779607,1,0.403945,2,7,0,1.03658,0.47465
-0.745673,0.5,0.403945,1,2,1,1.53824,0.0729545
-0.884356,0.395482,0.403945,3,7,0,0.971978,0.607953
-1.25081,0.664096,0.403945,1,3,1,2.20067,1.00081
-0.764581,0.999307,0.403945,2,7,0,1.32079,0.0650042
-0.764581,0,0.403945,0,1,1,1.64319,0.0650042
-0.764581,0,0.403945,0,1,1,1.41428,0.0650042
-0.706992,0.970333,0.403945,2,5,0,0.824998,0.362828
-1.04931,0.990211,0.403945,2,7,0,1.22648,0.793082
-0.741629,0.333333,0.403945,2,3,0,1.89566,0.419624
-0.871818,0.74773,0.403945,2,4,1,1.02725,0.592913
-0.670578,0.999685,0.403945,2,5,0,0.937184,0.286366
-0.662943,0.997602,0.403945,3,7,0,0.713995,0.263971
-0.662943,0,0.403945,0,1,1,1.21771,0.263971
-0.662943,0.490901,0.403945,1,2,1,1.21178,0.263971
-0.662943,0,0.403945,0,1,1,1.27901,0.263971
-1.5842,0.952436,0.403945,2,7,0,2.05093,1.3234
-0.953819,0.75,0.403945,2,4,1,2.02864,0.68837
-0.931746,1,0.403945,2,3,0,0.953796,0.663287
-0.728515,0.666667,0.403945,1,3,1,1.32871,0.399107
-1.4087,0.985008,0.403945,2,7,0,1.5791,1.15595
-1.73053,0.856755,0.403945,2,7,1,1.77704,1.46013
-1.89802,0.857025,0.403945,2,7,1,1.99881,1.61419
-1.93335,0.999943,0.403945,1,1,0,1.93354,1.6464
-2.52671,0.998986,0.403945,2,5,0,2.78934,2.17695
-2.23589,0.999845,0.403945,2,5,0,2.88113,1.91908
-0.870939,1,0.403945,2,5,0,3.03169,0.591851
-0.666876,0.800623,0.403945,2,5,0,0.867237,0.276109
-0.666876,0,0.403945,0,1,1,1.8224,0.276109
-0.666876,0,0.403945,0,1,1,1.26462,0.276109
-0.664963,0.999644,0.403945,2,3,0,0.67765,0.2704
-0.664963,0,0.403945,0,1,1,1.17171,0.2704
-0.668545,0.999437,0.403945,2,3,0,0.679175,0.280846
-0.654162,0.999975,0.403945,2,5,0,0.667667,0.224987
-0.654162,0,0.403945,0,1,1,1.12545,0.224987
-0.818939,0.484452,0.403945,1,2,1,1.37962,0.527065
-1.39915,0.989468,0.403945,2,7,0,1.83157,1.1467
-1.54168,0.999421,0.403945,1,3,0,1.61649,1.28322
-0.853448,0.799836,0.403945,2,5,1,2.13814,0.570515
-1.09626,0.99467,0.403945,2,7,0,1.52078,0.842807
-1.43752,0.748193,0.403945,2,4,1,2.12659,1.18376
-1.11142,0.999804,0.403945,2,5,0,2.05426,0.858655
-1.56578,0.997691,0.403945,2,7,0,1.73834,1.30602
-1.92607,0.799414,0.403945,2,5,1,2.57432,1.63977
-2.15357,0.99956,0.403945,2,5,0,2.36124,1.8454
-2.14481,1,0.403945,1,1,0,2.16017,1.83754
-3.21904,0.799424,0.403945,2,5,1,4.3575,2.7797
-2.28591,0.999808,0.403945,3,9,0,4.01969,1.96369
-2.07212,0.999848,0.403945,3,7,0,2.57587,1.77213
-2.09072,0.999975,0.403945,1,1,0,2.09394,1.7889
-2.10678,0.999979,0.403945,1,1,0,2.11076,1.80335
-2.60112,0.999698,0.403945,4,15,0,2.78809,2.24241
-2.95442,0.857016,0.403945,2,7,1,3.48927,2.55082
-2.96037,0.999996,0.403945,1,1,0,2.96885,2.55598
-3.15215,0.999833,0.403945,1,3,0,3.27056,2.72199
-3.86002,0.999658,0.403945,2,5,0,3.91076,3.32852
-3.73247,0.999992,0.403945,2,3,0,3.91117,3.21984
-2.97505,0.899956,0.403945,3,10,1,4.17921,2.56872
-2.58477,0.888785,0.403945,3,9,1,3.64522,2.22804
